Date,Open,High,Low,Close,Adj Close,Volume
2014-02-07,17019.099609375,17019.099609375,16770.69921875,16852.75,16852.75,13591000
2014-02-10,16824.099609375,16907.05078125,16735.30078125,16827.55078125,16827.55078125,9549000
2014-02-11,16803.05078125,16873.400390625,16744.650390625,16803.900390625,16803.900390625,10628000
2014-02-12,16839.5,16867.44921875,16631.849609375,16663.19921875,16663.19921875,13339000
2014-02-13,16685.80078125,16768.099609375,16418.25,16479.5,16479.5,7621000
2014-02-14,16525.05078125,16599.94921875,16387.599609375,16575.349609375,16575.349609375,8197000
2014-02-17,16603.19921875,16650.44921875,16500.05078125,16569.5,16569.5,6474000
2014-02-18,16561.0,16648.400390625,16478.75,16505.650390625,16505.650390625,8041000
2014-02-19,16543.05078125,16586.0,16482.75,16500.69921875,16500.69921875,6206000
2014-02-20,16448.44921875,16495.599609375,16320.0,16336.099609375,16336.099609375,8599000
2014-02-21,16414.400390625,16567.599609375,16388.650390625,16556.349609375,16556.349609375,9306000
2014-02-24,16510.599609375,16648.30078125,16500.94921875,16630.19921875,16630.19921875,5839000
2014-02-25,16609.5,16732.69921875,16609.5,16688.599609375,16688.599609375,6786000
2014-02-26,16714.44921875,16904.80078125,16705.80078125,16867.80078125,16867.80078125,14563000
2014-02-28,16780.099609375,16996.599609375,16780.099609375,16845.69921875,16845.69921875,16552000
2014-03-03,16859.80078125,16932.099609375,16786.80078125,16837.05078125,16837.05078125,11910000
2014-03-04,16880.25,17047.900390625,16819.44921875,16969.80078125,16969.80078125,12400000
2014-03-05,17009.400390625,17065.44921875,16919.400390625,17038.900390625,17038.900390625,9714000
2014-03-06,17039.5,17102.650390625,16958.400390625,17084.44921875,17084.44921875,10742000
2014-03-07,17026.19921875,17232.75,16964.150390625,17190.55078125,17190.55078125,19209000
2014-03-10,17130.349609375,17188.75,17053.75,17116.05078125,17116.05078125,12459000
2014-03-11,17120.80078125,17158.44921875,16892.30078125,17074.55078125,17074.55078125,11982000
2014-03-12,17094.0,17385.150390625,17094.0,17299.349609375,17299.349609375,13169000
2014-03-13,17321.55078125,17508.69921875,17304.30078125,17352.05078125,17352.05078125,8786000
2014-03-14,17305.5,17448.94921875,17185.75,17416.0,17416.0,9442000
2014-03-18,17520.69921875,17797.25,17449.900390625,17752.900390625,17752.900390625,13741000
2014-03-19,17780.349609375,17957.0,17776.849609375,17945.69921875,17945.69921875,11675000
2014-03-20,17913.80078125,17935.150390625,17775.349609375,17888.400390625,17888.400390625,12594000
2014-03-21,17958.5,18033.30078125,17845.75,17993.30078125,17993.30078125,16229000
2014-03-24,18000.400390625,18179.30078125,17978.80078125,18088.599609375,18088.599609375,11672000
2014-03-25,18041.150390625,18244.849609375,18041.150390625,18209.80078125,18209.80078125,12087000
2014-03-26,18224.599609375,18235.099609375,17924.55078125,18085.05078125,18085.05078125,16032000
2014-03-27,18093.150390625,18257.30078125,18010.5,18175.30078125,18175.30078125,26499000
2014-03-28,18250.25,18250.25,17979.69921875,18191.099609375,18191.099609375,14359000
2014-03-31,18230.349609375,18290.599609375,17939.349609375,18085.25,18085.25,16235000
2014-04-01,18119.19921875,18131.25,17856.44921875,18102.30078125,18102.30078125,16666000
